ak_id,ezb_id,ezb_display
AK00095704,EZB99654,KulturPoetik: Zeitschrift für kulturgeschichtliche Literaturwissenschaft = Journal for Cultural Poetics
AK00030463,EZB211457,Kürschners Deutscher Literatur-Kalender
AK01839489,EZB52007,Lettre Internationale : Editia Româna
AK00005110,EZB110690,Linguistica Pragensia (2005-2012)
AK00005110,EZB339630,Linguistica Pragensia (2014-)
AK00005934,EZB64797,Literary Review : An International Journal of Contemporary Writing
AK00015491,EZB459626,Litteraria Pragensia: Studies in Literature and Culture
AK00005451,EZB115529,Logos : Zeitschrift für Systematische Philosophie
AK00005663,EZB125572,"Lose Vogel, Der"
AK01606677,EZB52010,Magyar Lettre Internationale
AK00008991,EZB125574,"Marstall, Der"
AK00003231,EZB151099,Merkur : Deutsche Zeitschrift für europäisches Denken
AK00008993,EZB129150,"Mistral, Der"
AK00003240,EZB134709,Mitteilungen des Deutschen Germanistenverbandes
AK00004967,EZB7721,MLN - Modern Language Notes
AK00004963,EZB64810,Modern Fiction Studies (MFS)
AK00366106,EZB31379,"Modern Language Journal, The"
AK00004965,EZB7722,Modern Language Notes
AK00004279,EZB489470,Modern Language Review (aktuelle Jahrgänge)
AK00004279,EZB64811,Modern Language Review
AK00004279,EZB88235,"Modern Language Review, The"
AK00018251,EZB53654,Modern Language Studies (MLS)
AK00004983,EZB124320,Monatshefte für Deutsche Sprache und Pädagogik
AK00004986,EZB124317,Monatshefte für Deutschen Unterricht
AK00085974,EZB88548,Monatshefte für Deutschsprachige Literatur und Kultur (aktuelle Jahrgänge)
AK00215852,EZB88548,Monatshefte für Deutschsprachige Literatur und Kultur (aktuelle Jahrgänge)
AK00085974,EZB124315,Monatshefte für Deutschsprachige Literatur und Kultur
AK00215852,EZB124315,Monatshefte für Deutschsprachige Literatur und Kultur
AK00003258,EZB64813,Mosaic: A Journal for the Interdisciplinary Study of Literature and Ideas
AK00008181,EZB129147,Münchner Blätter für Dichtung und Graphik
AK00575844,EZB99904,Naharaim : Zeitschrift für deutsch-jüdische Literatur und Kulturgeschichte
AK00002846,EZB499655,Neerlandica Wratislaviensia: Internationale Neerlandistiek in Literatuur en Cultuur
AK00018272,EZB499655,Neerlandica Wratislaviensia: Internationale Neerlandistiek in Literatuur en Cultuur
AK01260829,EZB499655,Neerlandica Wratislaviensia: Internationale Neerlandistiek in Literatuur en Cultuur
AK00047141,EZB499655,Neerlandica Wratislaviensia: Internationale Neerlandistiek in Literatuur en Cultuur
AK00003770,EZB5271,Neohelicon : Acta Comparationis Litterarum
AK00005013,EZB4783,Neophilologus : An International Journal of Modern and Mediaeval Language and Literature
AK00005013,EZB64817,Neophilologus: An International Journal of Modern and Mediaeval Language and Literature
AK00008598,EZB129144,Neue Blätter
AK00005695,EZB129143,Neue Blätter für Kunst und Dichtung
AK00009060,EZB129396,Neue Blätter für Kunst und Literatur
AK00005696,EZB129142,"Neue Bücherschau, Die"
AK00005682,EZB125553,"Neue Daimon, Der"
AK00006262,EZB129139,Neue Jugend : eine Zeitschrift für moderne Kunst und jungen Geist (1914)
AK00006262,EZB160277,Neue Jugend : eine Zeitschrift für moderne Kunst und jungen Geist (1916/17)
AK00005440,EZB52022,Neue Literatur : Zeitschrift für Querverbindungen
AK00008997,EZB129137,"Neue Literatur, Die"
AK00008686,EZB125505,"Neue Pathos, Das"
AK00008981,EZB125566,"Neue Rheinland, Das"
AK00003283,EZB189135,Neue Rundschau
AK00003404,EZB31382,New German Critique
AK00003374,EZB64821,New Literary History (-2000)
AK00003374,EZB31383,New Literary History : NLH
AK00004277,EZB15771,Nietzsche-Studien (1972-2021)
AK00004277,EZB489331,Nietzsche-Studien (2022 -)
AK00296402,EZB140431,Nietzscheforschung
AK00003709,EZB8670,Orbis Litterarum
AK00003709,EZB462561,Orbis Litterarum: International Review of Literary Studies
AK00008670,EZB129153,"Orkan, Der"
AK00003943,EZB129155,"Orkan, Der : ein numeriertes Extrablatt zur Pflege neudeutscher Kunst und Kultur"
AK00004712,EZB60115,Oxford German Studies
AK01491444,EZB53657,Pacific Coast Philology
AK00007467,EZB130320,PAN
AK00004008,EZB129333,Phaethon
AK01227993,EZB64840,Philological Quarterly
AK00003716,EZB108869,Philosophia Naturalis (ältere Jahrgänge)
AK00003224,EZB122576,Philosophischer Literaturanzeiger (- 2000)
AK00007914,EZB130322,Phöbus
AK00008996,EZB129332,"Pleite, Die"
AK00022472,EZB45525,PMLA : Publications of the Modern Language Association
AK00022472,EZB31384,PMLA : Publications of the Modern Language Association
AK00003718,EZB345071,Poetica
AK00003718,EZB230990,Poetica
AK00003718,EZB55791,Poetica
AK01791042,EZB55791,Poetica
AK00003559,EZB3532,Poetics
AK00009180,EZB31385,Poetics Today
AK00365150,EZB87558,Problemos : Filosofijos Leidinys
AK00003741,EZB65465,Publications of the English Goethe Society (PEGS)
AK00020588,EZB129328,Renaissance
AK00004811,EZB64864,Renascence : Essays on Values in Literatur
AK00179244,EZB64865,Research in Phenomenology
AK00036683,EZB101171,Restaurator: International Journal for the Preservation of Library and Archival Material (1970-2024)
AK00005660,EZB130324,"Rettung, Die"
AK00005701,EZB130284,Revolution. Wochenschrift. An alle und Einen.  (1918)
AK00004889,EZB64876,Revue de Littérature Comparée
AK00003422,EZB109623,Rhetorik: ein internationales Jahrbuch
AK00022577,EZB527902,Romanica Wratislaviensia
AK00008989,EZB130325,Romantik
AK00005699,EZB130326,"Ruf, Der"
AK00005687,EZB127782,Saturn
AK01228158,EZB64888,Scandinavian Studies
AK00005651,EZB127787,"Schöne Rarität, Die"
AK00036701,EZB168711,"Scientia Poetica: Jahrbuch für Geschichte der Literatur und der Wissenschaften (Yearbook for the History of Literature, Humanities and Sciences)"
AK00005008,EZB67473,Seminar: A Journal of Germanic Studies
AK01229107,EZB124117,"Sewanee Review, The"
AK00005702,EZB127788,"Sichel, Die"
AK00005654,EZB127791,Sirius
AK00019868,EZB61150,"South Central Bulletin, The"
AK00009002,EZB127792,"Strom, Der"
AK00006625,EZB165280,Studia Bibliologiczne = Bibliographical studies
AK00004272,EZB339695,Studia Germanica Posnaniensia
AK00573141,EZB166925,Studia Litteraria Universitatis Iagellonicae Cracoviensis
AK00004701,EZB5561,Studia Neophilologica
AK00004713,EZB64914,Studies in Romanticism
AK00005930,EZB128842,Sturm-Bühne
AK00008196,EZB129329,"Sturmreiter, Der"
AK00004715,EZB130341,Summa
AK00004717,EZB90911,Symposium: A Quarterly Journal in Modern Literatures
AK00004717,EZB64918,Symposium: A Quarterly Journal in Modern Literatures
AK00055727,EZB131354,Temeswarer Beiträge zur Germanistik = Contributions to German Studies of Timisoara
AK00003822,EZB52372,"Times Literary Supplement, The (TLS) - Historical Archive"
AK00022472,EZB31400,Transactions and Proceedings of the Modern Language Association of America
AK00022472,EZB31401,Transactions of the Modern Language Association of America
AK00008999,EZB128818,"Ventilator, Der"
AK00005659,EZB130345,"Weg, Der"
AK00005298,EZB130347,"Weissen Blätter, Die"
AK00009004,EZB127776,Wiecker Bote
AK00022605,EZB46760,Wisconsin Studies in Contemporary Literature
AK00003972,EZB124334,World Literature Today
AK00003972,EZB64936,World Literature Today (formerly: Books Abroad)
AK01608779,EZB312157,Wortfolge: Jahrbuch des Instituts für Germanische Philologie der Schlesischen Universität = Szyk Słów: Rocznik Instytutu Filologii Germańskiej Uniwersytetu Ślas̨kiego
AK00036897,EZB64939,"Year's Work in Modern Language Studies, The"
AK01539482,EZB225293,Yearbook for European Jewish Literature Studies
AK00017417,EZB92193,Zagreber Germanistische Beiträge
AK00019482,EZB92193,Zagreber Germanistische Beiträge
AK00019482,EZB158935,Zagreber Germanistische Beiträge. Beihefte
AK00010854,EZB127777,"Zeit im Buch, Die"
AK00005666,EZB127778,Zeit-Echo
AK00009221,EZB127775,"Zeitblatt, Das"
AK00005630,EZB110772,Zeitschrift für Ästhetik und Allgemeine Kunstwissenschaft (ZÄK) (2006-)
AK00004673,EZB15026,Zeitschrift für Bibliothekswesen und Bibliographie (ZfBB) (2003-)
AK00004673,EZB41086,Zeitschrift für Bibliothekswesen und Bibliographie (ZfBB) (ältere Jahrgänge)
AK00004759,EZB134533,Zeitschrift für deutsche Kulturphilosophie
AK00003312,EZB48539,Zeitschrift für Deutsches Altertum und Deutsche Literatur (ZfDA) (1876-)
AK00029873,EZB64941,Zeitschrift für Dialektologie und Linguistik : ZDL
AK00003401,EZB64942,Zeitschrift für Germanistische Linguistik
AK00003401,EZB10079,Zeitschrift für Germanistische Linguistik (ZGL)
AK00003557,EZB245063,Zeitschrift für Literaturwissenschaft und Linguistik (LiLi)
AK01599903,EZB245063,Zeitschrift für Literaturwissenschaft und Linguistik (LiLi)
AK00003557,EZB177476,Zeitschrift für Literaturwissenschaft und Linguistik : LiLi
AK00003557,EZB64943,Zeitschrift für Literaturwissenschaft und Linguistik : LiLi
AK01599903,EZB64943,Zeitschrift für Literaturwissenschaft und Linguistik : LiLi
AK00004690,EZB110626,Zeitschrift für philosophische Forschung
AK00004690,EZB124918,Zeitschrift für philosophische Forschung
AK00004690,EZB64944,Zeitschrift für Philosophische Forschung : ZphF
AK00004560,EZB64945,Zeitschrift für Religions- und Geistesgeschichte (ZRGG)
AK00008638,EZB127774,"Zeltweg, Der"
AK00004665,EZB33153,Zentralblatt für Bibliothekswesen (1927 - 1990)
AK00168975,EZB130343,"Ziel, Das"
AK00180009,EZB53953,Znak
AK00005658,EZB127771,"Zweemann, Der : Monatsblätter für Dichtung und Kunst"
