id	display	issn
AK00363630	Wildbrot, Wortbild : Literaturzeitschrift des TEA Tagebuch- und Erinnerungsarchivs Berlin e.V.	1865-5408
AK00363799	Don-Bosco-Kalender : Ihr Begleiter durch das Jahr : [Textsammlung (Anthologie u.a.m.)]	0176-1706
AK00363903	Der Flugleiter	0015-4563
AK00363949	Liturgie und Mönchtum : Laacher Hefte	0342-1368
AK00363976	Guten Tag : žurnal iz Germanii	0172-4525
AK00364272	Almanach : das ... Jahr	0342-8001
AK00364769	BIS : das Magazin der Bibliotheken in Sachsen	1866-0665
AK00364817	Folia humanistica : ciencias, artes, letras	0015-5594
AK00365031	Rozprawy Uniwersytetu Warszawskiego	0509-7177
AK00365105	Saarbrücker Beiträge zur Sprach- und Translationswissenschaft : Sabest	1436-0268
AK00365150	Problemos : filosofijos leidinys	0203-7238
AK00365150	Problemos : filosofijos leidinys	1392-1126
AK00365202	Berliner Almanach	0174-8238
AK00365483	Friedrichsruher Beiträge	1436-8153
AK00365589	[Publikationen des Fachbereichs Angewandte Sprach- und Kulturwissenschaft der Johannes-Gutenberg-Universität Mainz in Germersheim / A] Publikationen des Fachbereichs Angewandte Sprach- und Kulturwissenschaft der Johannes-Gutenberg-Universität Mainz in Germersheim	0941-9543
AK00365801	Walther-Studien	1615-651X
AK00365994	Zeitschriftenverzeichnis Neuphilologie der Fakultätsbibliothek (Tü 108) und der Universitätsbibliothek (21)	0720-2008
AK00366106	The modern language journal : MLJ ; devoted to research and discussion about the learning and teaching of foreign and second languages	0026-7902
AK00366256	Babel : revue internat. de la traduction ; organe trimestr. d'information et de recherche dans le domaine de la traduction	0521-9744
AK00366256	Babel : revue internat. de la traduction ; organe trimestr. d'information et de recherche dans le domaine de la traduction	0005-352x
AK00366280	Veröffentlichungen des Ostasien-Instituts der Ruhr-Universität Bochum	0340-6687
AK00366281	Beiträge zur Literaturkunde : Bibliographie ausgewählter Zeitungs- u. Zeitschriftenbeiträge : [Bibliographie]	0005-8092
AK00366282	Internationale germanistische Bibliographie : IGB : [Bibliographie]	0721-4561
AK00366341	[Viceversa / Literatur] Viceversa : Literatur ; Jahrbuch der Schweizer Literaturen : [Übersetzung ins Deutsche]	1662-0380
AK00366352	Deutsch, betrifft uns : aktuelle Unterrichtsmaterialien	0178-0417
AK00366383	Forschungen und Quellen zur Kirchen- und Kulturgeschichte Ostdeutschlands	0532-2081
AK00366530	Beiträge zur Bibliographie und Rezension der deutschen Science Fiction	1861-8367
AK00367139	Theses in progress at British universities and other institutions of higher education and theses completed in ... with work published in ... and work due to be published in ... by members of the Conference of University Teachers of German in Great Britain and Ireland : [Bibliographie]	0082-4127
AK00367140	Research in Germanic studies : theses completed in ... and theses in progress ... at universities and other institutions of higher education in Great Britain and Ireland together with work publ. in ... and work due to be publ. in ... by members of the Conference of University Teachers of German in Great Britain and Ireland : [Bibliographie]	0260-5929
AK00367147	Quellenlexikon der Interpretationen und Textanalysen : Personal- und Einzelwerkbibliographien zur deutschen Literatur von ihren Anfängen bis zur Gegenwart ; ein Handbuch für Schule und Hochschule	0342-0582
AK00367151	Schriften des Museums für Deutsche Volkskunde Berlin	3052-6280
AK00367709	Who's who in the arts and literature : a biographical who's who by the internat. red series containing some ... prominent artists and authors from the Federal Republic of Germany, Austria and Switzerland	0722-9186
AK00367709	Who's who in the arts and literature : a biographical who's who by the internat. red series containing some ... prominent artists and authors from the Federal Republic of Germany, Austria and Switzerland	0722-916x
AK00367822	Die Suche nach NS-Raubgut in Bibliotheken : Recherchestand, Probleme, Lösungswege ; [Veröffentlichung der Beiträge zu einer Veranstaltung auf dem 94. Deutschen Bibliothekartag, Düsseldorf 15. - 18.3.2005] : [Aufsatzsammlung]	0931-7163
AK00367868	Religion, Kultur, Recht	1611-938X
AK00367958	Angewandte Sprachwissenschaft	1435-4365
AK00367971	Studien zur Geschichte des Bayerischen Rundfunks	1619-120X
AK00368354	Dia-Logos : Schriften zu Philosophie und Sozialwissenschaften	1619-005X
AK00369048	Perspektiven der Opernforschung	0178-6121
AK00369306	Schlesische Hefte für Kulturgeschichte	1860-9368
AK00370159	Beiträge zur deutschen Philologie	0522-5341
AK00370971	Library trends	0024-2594
AK00371060	Brandenburgische Literatur : Regionalbibliographie für die Bezirke Cottbus, Frankfurt (Oder) und Potsdam ; Neuerscheinungen des Jahres ... mit Nachträgen aus früheren Jahren : [Bibliographie]	0232-6639
AK00371165	Quaderni del Circolo Filologico-Linguistico Padovano	0578-3119
AK00371384	Almanach	0516-7639
AK00371841	Jahrbuch des Emsländischen Heimatbundes	0448-1410
AK00371861	Pommersches Jahrbuch für Literatur	1863-057X
AK00371881	Arbeiten aus Anglistik und Amerikanistik : AAA	0171-5410
AK00372582	Mʺu-helyek	1788-2427
AK00372629	Schriften der Staats- und Universitätsbibliothek Bremen	0723-5089
AK00372810	Archiv für Familiengeschichtsforschung : AfF ; die Zeitschrift für Familienforscher	0003-940
AK00372810	Archiv für Familiengeschichtsforschung : AfF ; die Zeitschrift für Familienforscher	0003-9403
AK00374406	Gesprächskreis Politik und Geschichte im Karl-Marx-Haus	1860-8280
AK00374780	Papiere zur Textlinguistik	0341-3195
AK00374974	Passim : Bulletin des Schweizerischen Literaturarchivs : [Bibliographie enthalten]	1662-5307
AK00375017	[Jahrbuch für internationale Germanistik / D] Jahrbuch für internationale Germanistik. Reihe D, Dokumentation	0721-3913
AK00375025	Reihe Romanistik	0174-0946
AK00375272	Collection Krisis	0985-6684
AK00375720	Hamburger Forschungen zur Kunstgeschichte : Studien, Theorien, Quellen	2192-3337
AK00376008	Studienbücher zur Linguistik und Literaturwissenschaft	0170-6527
AK00376033	Siegener Studien	0174-6529
AK00376791	Cultura ludens : imitation and play in Western culture	0882-3049
AK00376880	Incises	1242-8434
AK00377038	Schriftenreihe der Stadt Speyer	0175-7954
AK00377106	Amsterdam studies in the theory and history of linguistic science. - Series 5, Library & information sources in linguistics	0165-7267
AK00377203	Cvet na gnojišču	978-3-900181-18-5
AK00377541	Materialien aus dem Institut für Museumsforschung	0931-7961
AK00377549	Der Reden-Berater : Handbuch für erfolgreiche Reden im Betrieb, in der Öffentlichkeit und im Privatleben : [Loseblattausgabe]	0932-1543
AK00378055	Aus der Welt der Religion : Forschungen und Berichte	0519-4598
AK00378847	Bibliographie-Report ... zu den Gebieten Museologie, Museumspädagogik und Museumsdidaktik : [Bibliographie]	0931-7961
AK00378905	Sitzungsberichte der Heidelberger Akademie der Wissenschaften, Philosophisch-Historische Klasse	0933-6613
AK00379055	Oper aktuell	1431-8318
AK00379061	Jahrbuch der Bayerischen Staatsoper	1431-8318
AK00379237	Rozprawy habilitacyjne	0239-782X
AK00379419	Literarische Studien	0935-4085
AK00379442	The Europa world of learning	0084-2117
AK00379456	[Zeitschrift für Bibliothekswesen und Bibliographie / Sonderbände] Zeitschrift für Bibliothekswesen und Bibliographie	0514-6364
AK00379770	Die Künstlergilde : bildende Kunst, Literatur, Musik, Fotografie, Publizistik, Theater	0946-3100
AK00379849	Bestandsverzeichnis der Anne-Frank-Shoah-Bibliothek : (Stand: ...) : [Bibliographie]	0944-6702
AK00379968	Literaturblatt Baden-Württemberg : Texte und Termine	1616-4555
AK00380108	Jahrbuch Polen : [Aufsatzsammlung]	1432-5810
AK00380395	[Kierkegaard studies / Monograph series] Monograph series	1434-2952
AK00380704	Collection Neige	1627-7392
AK00381018	Studien zur Geschichte der Wissenschaften in Basel	0585-6051
AK00381203	Beiträge zur Volkskunde der Ungarndeutschen	0324-3001
AK00381203	Beiträge zur Volkskunde der Ungarndeutschen	0230-2225
AK00381323	Historische Jugendforschung : Jahrbuch des Archivs der Deutschen Jugendbewegung	0587-5277
AK00381355	Wegweisende Literatur der Gegenwart	1867-4178
AK00381355	Wegweisende Literatur der Gegenwart	0945-9995
AK00381715	[Studien zur deutschen Kunstgeschichte] Studien zur deutschen Kunstgeschichte	0081-7228
AK00381772	Aussiger Beiträge : AB ; germanistische Schriftenreihe aus Forschung und Lehre	1802-6419
AK00382072	Les dix-huitièmes siècles	1259-4482
AK00382163	Karl May & Co. : das Karl-May-Magazin	1434-0356
AK00383201	Theodor-Herzl-Jahrbuch	0377-6107
AK00383489	[Bulletin Jugend & Literatur / Beihefte] Bulletin Jugend und Literatur : Nachrichten, Informationen, Beiträge u. Kritiken für Erzieher, Lehrer, Sozialpädagogen ...	0172-0910
AK00384102	Beiträge zur Gesellschafts- und Bildungspolitik	0724-1097
AK00384105	Germanische Studien	0179-4191
AK00384281	Göppinger akademische Beiträge : GAB	2748-5870
AK00384465	Informationen aus dem Ralf-Schuster-Verlag : Aufsätze, Rezensionen und Berichte aus der germanistischen Forschung	1866-0657
AK00384679	Die Frauenfrage in Deutschland : [Bibliographie]	0344-1415
AK00384969	CNRS anthropologie	1275-0336
AK00385229	Polaris : ein Science Fiction Almanach	0171-0575
AK00385674	Jahrbuch schreibender Frauen	0179-9231
AK00386192	Lille thèses	0294-1767
AK00386489	Historische Quellen zur Frauenbewegung und Geschlechterproblematik	0940-5968
AK00386681	Protokollmanuskript : [Konferenzschrift]	0402-8376
AK00386818	Freiburger Zeitschrift für GeschlechterStudien : FZG	1867-3139
AK00387604	Bibliotheksarbeit : BA	0945-4632
AK00388284	Information und Ethik : dritter Leipziger Kongress für Information und Bibliothek, [zugleich 96. Deutscher Bibliothekartag], Leipzig, 19. bis 22. März 2007 : [Konferenzschrift]	1438-9290
AK00388284	Information und Ethik : dritter Leipziger Kongress für Information und Bibliothek, [zugleich 96. Deutscher Bibliothekartag], Leipzig, 19. bis 22. März 2007 : [Konferenzschrift]	1616-5136
AK00389624	Schriftenreihe des Heimat- und Geschichtsvereins Holzminden	0933-3584
AK00389732	Kohlhammer-Urban-Taschenbücher	3052-2382
AK00389807	Denkschriften	0257-4543
AK00389807	Denkschriften	1012-4861
AK00390069	Jahresbibliographie der Volksballadenforschung : [Bibliographie]	0352-8693
AK00390360	Folkwang-Studien	1861-3047
AK00391779	Fono-Forum : das Klassik-Magazin	0015-6140
AK00391820	Feuxcroisés : littératures et échanges culturels en Suisse ; revue du Service de Presse Suisse	1423-7482
AK00391844	Forschungsergebnisse der Studiengruppe für Politik und Völkerrecht	1434-8691
AK00392695	Förderungspreis des Landes Nordrhein-Westfalen für junge Künstler	0724-4843
AK00392744	Jahrbuch deutschsprachiger Literaturzeitschriften : [Bibliographie]	0939-6152
AK00392815	Mitteilungsblatt zur rheinhessischen Landeskunde	0932-3430
AK00393384	Literary and library prizes	0075-9880
AK00393389	Das gute Jugendbuch : Werkblatt für die Fragen des Jugendschrifttums : [Bibliographie]	0433-0196
AK00393519	SinoLinguistica : Schriftenreihe des Fachverbandes Chinesisch	0937-4043
AK00393968	[Manusya / Special issue] Manusya : journal of humanities	0859-9920
AK00394203	Information Philosophie	1434-5250
AK00394742	Sowjetische Literatur in deutschen Übersetzungen : Prosa, Dramen, Lyrik, Literatur über Autoren und zur sowjetischen Literatur ; ein Auswahlverzeichnis : [Bibliographie]	0933-4696
AK00395150	Lehrpraktische Analysen	0170-3986
AK00395586	Arbeitsberichte	0947-0360
AK00396150	"[Les Littératures de langues européennes au tournant du siècle / A] Les Littératures de langues européennes au tournant du siècle : lectures d'aujourd'hui ; travaux du Groupe de Recherches International ""1900"""	0837-0419
AK00396515	Terpsichore : tanzhistorische Studien	1434-0771
AK00396544	Berichte der Kepler-Kommission	1430-7162
AK00396568	[Deutsche Geodätische Kommission bei der Bayerischen Akademie der Wissenschaften / E] Reihe E, Geschichte und Entwicklung der Geodäsie	0065-5341
AK00396697	Göttinger Juristische Schriften	1864-2128
AK00396869	Die große Stadt : das kulturhistorische Archiv von Weimar-Jena	1869-7895
AK00396869	Die große Stadt : das kulturhistorische Archiv von Weimar-Jena	1865-3111
AK00397129	Das Goetheanum : Wochenschrift für Anthroposophie	1422-7622
AK00397197	Frau und Frieden	0016-0172
AK00397389	Langue et civilisation germaniques	1159-294X
AK00397441	Sonderwege in der Literatur : Schweizer Schriftsteller im Außenseiterdiskurs	1426-7241
AK00397828	Religion - Politik - Gesellschaft in der Schweiz	1422-4429
AK00398494	[Spanische Forschungen der Görresgesellschaft / 2] Spanische Forschungen der Görresgesellschaft	0081-3494
AK00403592	Bibliographisches Jahrbuch für Erzählbände : Inhaltsverzeichnisse und Register : [Bibliographie]	1865-7079
AK00403602	Storyatella : Berliner Kurzgeschichten ; das Leben schreibt das Beste, aber nicht alles!	1866-3311
AK00403898	Auktionspreise : Jahrbuch für Kunst, Kunsthandwerk und Design	1867-0164
AK00403898	Auktionspreise : Jahrbuch für Kunst, Kunsthandwerk und Design	1867-0156
AK00404310	Basler und Berner Studien zur historischen und systematischen Theologie	0171-6840
AK00405085	Studien zur Geschichte	0232-8933
AK00407202	Cadeira de lingua e literatura alemã	0075-9562
AK00407889	Recht und Staat in Geschichte und Gegenwart : eine Sammlung von Vorträgen und Schriften aus dem Gebiet der gesamten Staatswissenschaften	0340-7012
AK00408223	Poet lore : a national quarterly of world poetry	0032-1966
AK00408234	Dansk musiktidsskrift : dmt	0106-5629
AK00408248	The Unesco courier	0041-5278
AK00408250	Basler Jahrbuch	0257-2249
AK00408261	Die Bruderschaft	0172-5688
AK00408267	Graphologische Schriftenreihe : Zeitschrift für Graphologie und Grenzgebiete	0436-3310
AK00408274	[Scala international / Deutsche Ausgabe] Scala international	0581-9385
AK00408278	Sofia	0489-6432
AK00408281	Look	0024-6336
AK00409293	Zeitschrift für philosophische Forschung. - Beiheft	0514-6488
AK00410706	Neujahrsblatt : auf das Jahr ...	0259-157X
AK00411189	Österreich-Studien Szeged	1789-1272
AK00412958	Senckenberg-Buch	0341-4108
AK00413119	Film-Konzepte	1861-9622
AK00413940	Das alte Europa : kleine Bibliothek der vergessenen Autoren	1614-5232
AK00414804	Materia medica Nordmark / Sonderhefte	0936-6431
AK00417856	Einhorn	Einhorn
AK00418272	Specialarbete	0347-1128
AK00418347	Kritische Justiz : Vierteljahresschrift für Recht und Politik	0023-4834
AK00418393	Journal of literary theory : JLT ; new developments in literary theory and related disciplines	1862-5290
AK00418967	Prairie schooner	0032-6682
AK00418970	Mare : die Zeitschrift der Meere	1432-928X
AK00419087	Schriften des Historischen Museums Frankfurt am Main	0342-2038
AK00419866	Forschungsprobleme der vergleichenden Literaturgeschichte	0071-7703
AK00420369	Verständliche Wissenschaft	0083-5846
AK00420884	Professional camera	0173-5357
AK00422149	Jahresgabe der Gesellschaft zur Pflege des Märchengutes der Europäischen Völker e. V., Schloß Bentlage bei Rheine in Westfalen	0431-7629
AK00423043	Uppsala Slavic papers	0348-3436
AK00423077	GenderCodes : Transkriptionen zwischen Wissen und Geschlecht	2698-2013
AK00473827	Életek & mʺuvek	1588-6360
AK00474703	Restant	0771-095X
AK00478557	Stuttgart live : Programmkalender, Kleinanzeigen, Theater, Ausstellungen, Literatur, Musik, Kino	0179-7611
AK00478560	Philosophisches Jahrbuch der Görres-Gesellschaft	0031-8183
AK00479643	Kalliope : Zeitschrift für Literatur und Kunst	1866-0355
AK00479767	Neue theologische Grundrisse	0340-6806
AK00480160	Stvaranje : časopis za književnost i kulturu ; izlazi mjesečnim i dvomjesečnim sveskama	0039-422X
AK00480421	"Biblioteka ""Ogonëk"""	0132-2095
AK00480592	Zum Nachdenken : Informationsdienst ; lesenswerte Beitr. aus Zeitungen u. Zeitschr. für polit. interessierte Bürger als Hilfe zur eigenen Urteilsbildung	0044-5487
AK00480801	Der Maulkorb : Blätter für Literatur und Kunst	1865-9586
AK00481260	Freiberger Lesehefte : Worte & Bilder ; Zeitschrift für Gegenwartsliteratur	1433-7967
AK00481621	Schlesischer Kulturspiegel : Informationen über das schlesische Kulturleben - Ausstellungen, Tagungen, Publikationen, Wissenswertes	1437-5095
AK00482778	Fòrum	1130-0256
AK00482780	University Press : UP	0913-3291
AK00482882	Sur : revista bimestrál	0035-0478
AK00483170	Salmagundi : a quarterly of the humanities and social sciences	0036-3529
AK00483649	Société des Textes Français Modernes	0768-0821
AK00483895	Ord & bild : kulturtidskrift för samtiden grundad 1892	0030-4492
AK00483900	Nyugat	0209-5572
AK00484539	Recherches actuelles en littérature comparée	0765-1090
AK00486069	Deutsche medizinische Wochenschrift : DMW ; Organ der Deutschen Gesellschaft für Innere Medizin (DGIM) ; Organ der Gesellschaft Deutscher Naturforscher und Ärzte (GDNÄ)	0012-0472
AK00486126	[Europa <Stuttgart>] Europa : Magazin für Wirtschaft, Politik u. Kultur	0014-2468
AK00486228	Beiträge zur Geschichte der Musikpädagogik	0940-4236
AK00486254	Burschenschaftliche Blätter : Monatsschrift für den deutschen Burschenschafter	0341-5252
AK00486313	Österreichische Zeitschrift für Geschichtswissenschaften : ÖZG	1016-765X
AK00486338	Collection Versions françaises	1627-4040
AK00486458	Therapeutische Berichte : thb	0371-7410
AK00486477	[Der Märker <Lüdenscheid>] Der Märker : landeskundliche Zeitschrift für den Bereich der ehem. Grafschaft Mark und den Märkischen Kreis	0024-9661
AK00486529	Bibliographische Mitteilungen der Universitätsbibliothek, Jena : [Bibliographie]	0138-1903
AK00486529	Bibliographische Mitteilungen der Universitätsbibliothek, Jena : [Bibliographie]	0448-9470
AK00486833	Allgemeiner Harz-Berg-Kalender für das Jahr ...	1867-5395
AK00486844	Bibliothèque universelle et revue de Genève	0366-418X
AK00487373	Polyphem : neue Dichtung und Graphik	0551-4681
AK00487737	[Natur und Kultur <Garmisch-Partenkirchen>] Natur und Kultur : Vierteljahreszeitschrift für Naturforschung, Kulturpflege u. Welterkenntnis	0174-8297
AK00487867	Bulletin trimestriel de la Fondation Auschwitz	0772-652X
AK00488242	Matrix : Zeitschrift für Literatur und Kunst	1861-8006
AK00563865	Reibeisen : das Kulturmagazin aus Kapfenberg	1810-0473
AK00563927	Collection Idées	0530-8089
AK00564741	Das Kleine Buch der 100 Bücher : kritische Stimmen zu neuen Büchern	0075-630X
AK00566419	Zetemata : Monographien zur klassischen Altertumswissenschaft	1610-4188
AK00566456	Lateres : Texte und Studien zu Antike, Mittelalter und früher Neuzeit	1610-6806
AK00566634	Texte und Untersuchungen zur Geschichte der altchristlichen Literatur	0082-3589
AK00566640	Dada	0258-946X
AK00566807	Kleine Bilderfabrik : e. Auswahl unbekannter Aufsätze	0177-9869
AK00569954	Studien zur Ethik in Ostmitteleuropa	1437-9783
AK00570336	Sportwissenschaftliche Dissertationen und Habilitationen	0944-9604
AK00571212	Annuaire international des dix-neuviémistes	1154-6697
AK00571216	Auslandsschulverzeichnis	0342-8672
AK00572490	Jahrbuch für Philosophie und phänomenologische Forschung	2570-2637
AK00572527	Info-Dienst	0939-6063
AK00573141	Studia litteraria Universitatis Iagellonicae Cracoviensis	1897-3035
AK00573517	Schriften zur Kirchen- und Rechtsgeschichte	0582-0367
AK00574235	Tradition und Gegenwart : Weimarer Schriften	0232-8976
AK00574425	Who's who at the Frankfurt Book Fair : an international publishers' guide	0170-7213
AK00574478	Collection Le bien commun	1269-8563
AK00574672	Meisterwerke der Kunst	0174-9277
AK00575463	Goethe-Plakette	0933-8136
AK00575594	Friede über Israel : Zeitschrift für Kirche und Judentum	1612-4340
AK00575594	Friede über Israel : Zeitschrift für Kirche und Judentum	0938-6408
AK00575640	Hebbel : Schriftenreihe ; Mensch und Dichter im Werk	1612-0078
AK00575844	Naharaim : Zeitschrift für deutsch-jüdische Literatur und Kulturgeschichte ; a publication of the Franz Rosenzweig Minerva Research Centre, The Hebrew University Jerusalem	1862-9148
AK00576563	Streven : cultureel-maatschappelijk maandblad	0039-2324
AK00576788	Studia Germanica Universitatis Vesprimiensis : Zeitschrift des Germanistischen Instituts an der Pannonischen Universität Vesprém	1417-4340
AK00577080	Jahresbericht	1662-5420
AK00579329	Kafka : Schriftenreihe der Deutschen Kafka-Gesellschaft	1864-9920
AK00579374	Bulletin	1662-7326
AK00579581	Archivio di filosofia	0004-0088
AK00579596	Hannah-Arendt-Studien : Schriftenreihe des Hannah-Arendt-Zentrums der Carl-von-Ossietzky-Universität Oldenburg	1611-1192
AK00579619	Berliner Beiträge zur Literatur- und Kulturgeschichte	1862-815X
AK00688078	La tour de feu : revue internationaliste de création poétique	0040-9731
AK00690177	Internationales Jahrbuch des deutschen Idealismus : IJDI	1613-0472
AK00691496	Belletristik : Zeitschrift für Literatur und Illustration	1861-9940
AK00691607	Biblisch-theologische Studien	0930-4800
AK00691980	VOSS - Berliner Zeitbilder	1614-5526
AK00692718	[Risse <Rostock> / Sonderheft] Risse. Sonderheft : Zeitschrift für Literatur in Mecklenburg und Vorpommern	0949-7994
AK00693832	[Kölner Zeitschrift für Soziologie und Sozialpsychologie / Sonderhefte] Sonderhefte	0454-1340
AK00694015	Forschungsberichte des Instituts für Musikpädagogische Forschung an der Hochschule für Musik und Theater Hannover	1430-8088
AK00694337	Rikky¯o-daigaku-kenky¯u-h¯okoku : shizen kagaku	0387-6837
AK00694387	Biblioteca teatrale : BT ; rivista trimestrale di studi e ricerche sullo spettacolo	0045-1959
AK00694398	Europäische Begegnung : unabhängige Zeitschrift für Politik, Wirtschaft u. Kultur	0014-2646
AK00694423	ICarbS	0360-8409
AK00694528	Psychobiologie : Zeitschrift der Psychobiologischen Gesellschaft	0478-6866
AK00694545	Review of national literatures : RNL	0034-6640
AK00694590	Salzburger Beiträge zur Sprach- und Kulturwissenschaft : Beihefte zur Zeitschrift Moderne Sprachen	1681-6439
AK00694592	Tel quel : littérature, philosophie, science, politique	0040-2419
AK00695097	Argos : Mitteilungen zu Leben, Werk und Nachwelt des Dichters Peter Hacks (1928 - 2003)	1865-049X
AK00695381	Gesprächsfetzen : ein Rundbrief für Freunde, erscheint, wenn es sich ergibt	0016-9188
AK00699940	Aufgaben und Finanzierung	0418-8403
AK00699954	Aesthetica	1761-2160
AK00699970	Keine Delikatessen : Bühne für SchriftBilder ; ... da Texte all zu oft nur in der Stille bleiben ; Zeitschrift für Literatur, Wissenschaft und Kunst	1994-1293
AK00700093	Limbus : australisches Jahrbuch für germanistische Literatur- und Kulturwissenschaft	1869-1021
AK00701234	Atti dei convegni Lincei : [Konferenzschrift]	0391-805X
AK00701266	Kleine Schriften des Arye-Maimon-Instituts	1439-1600
AK00701464	Genèses de textes	1662-7539
AK00702285	Deutsche Lyriker der Gegenwart : Anthologie	0935-1957
AK00702645	[Humanität <Berlin>] Humanität : Zeitschrift für Gesellschaft, Kultur und Geistesleben	0721-8990
AK00702647	Ran <Köln>	0004-7899
AK00702722	Nerv : das Magazin von Slam!Gallen	1662-5587
AK00703065	Preussenland : Mitteilungen der Historischen Kommission für Ost- und Westpreussische Landesforschung und aus den Archiven der Stiftung Preußischer Kulturbesitz	0032-7972
AK00703067	[Hessische Heimat <Marburg, Lahn>] Hessische Heimat : Zeitschrift für Kunst, Kultur und Denkmalpflege ; Organ der Gesellschaft für Kultur- und Denkmalpflege	0178-3173
AK00704084	Tippsel ... : d. kleine Anthologie	0178-563X
AK00704304	Das Podium : ein Almanach auf das Jahr ..	0477-0536
AK00704496	Berlins kulturelles Leben	0931-7147
AK00704529	[Dokumentation zur germanistischen Sprachwissenschaft / Sprachwissenschaftliche Forschungsvorhaben] Dokumentation zur germanistischen Sprachwissenschaft. Sprachwissenschaftliche Forschungsvorhaben	0724-4320
AK00704537	[Verzeichnis lieferbarer alternativer Bücher / Hauptband] Verzeichnis lieferbarer alternativer Bücher : VlaB ; Katalog zur Gegenbuchmesse : [Bibliographie]	0931-7953
AK00704723	Kunststoff : das Kulturmagazin aus Mitteldeutschland	1861-1397
AK00705233	The American scholar : a quarterly for the independent thinker	0003-0937
AK00705345	Carolinum : historisch-literarische Zeitschrift	0008-6827
AK00705606	Lichtwolf : Zeitschrift für (trotz) Philosophie ; Gesamtausgabe	1614-8126
AK00810637	[Lichtwolf / Sonderheft] Lichtwolf : Zeitschrift trotz Philosophie	1614-8037
AK00810946	Mugen : shi to shiron	0580-1613
AK00811231	"Neuerscheinungsindex Literaturzeitschriften des ""Grauen Marktes"" : NiLit ; e. Veröff. d. Projekt Literaturzeitschriften"	0173-8151
AK00811236	Verzeichnis deutschsprachiger Literaturzeitschriften : Günther Emigs VdL : [Bibliographie]	0174-0644
AK00811241	Philosophica	2420-9198
AK00811268	Universitätsschriften	1864-2004
AK00811494	Bergsteiger-Almanach	0005-8963
AK00811502	Berliner Leben : Tagebuch einer Weltstadt	0005-9293
AK00811658	English literary studies : monograph series	0829-7681
AK00811730	Kresy : kwartalnik literacki	0867-1125
AK00812571	Die neuen Architekturführer	2509-5129
AK00812780	T'bilisis Universitetis šromebi	0376-2637
AK00812780	T'bilisis Universitetis šromebi	0356-2637
AK00812780	T'bilisis Universitetis šromebi	0376-3637
AK00812780	T'bilisis Universitetis šromebi	0235-3997
AK00812783	[T'bilisis Universitetis šromebi / Literaturat'mc'odneoba] T'bilisis Universitetis šromebi. Literaturat'mc'odneoba = Literaturovedenie = Literary research	0376-2637
AK00812783	[T'bilisis Universitetis šromebi / Literaturat'mc'odneoba] T'bilisis Universitetis šromebi. Literaturat'mc'odneoba = Literaturovedenie = Literary research	0235-3989
AK00813117	Joseph : d. extreme Magazin für Abgründe, Exzesse u. Müßiggang	0178-7950
AK00813747	Nota : student. Zeitschrift für bildende Kunst und Dichtung	0546-6776
AK00813757	Theaterarbeit in der DDR	0138-2322
AK00814262	Wendemarke : Zeitschrift für Literatur und Gesellschaft	0083-7970
AK00814277	Westpreußen-Jahrbuch : aus dem Land an der unteren Weichsel	0511-8484
AK00814991	Film culture	0015-1211
AK00815785	Letterature moderne : rivista di varia umanità	1129-597X
AK00815785	Letterature moderne : rivista di varia umanità	0459-1534
AK00815897	[Die Leibeserziehung <Schorndorf>] Die Leibeserziehung : Monatsschr. für Wiss. u. Unterricht ; Monatsschrift für Lehrer und Ärzte, für Jugend und Jugendleiter	0455-5902
AK00816679	Normdaten-DVD-ROM : Gemeinsame Körperschaftsdatei, Personennamendatei, Schlagwortnormdatei	1867-8270
AK00816707	Profil : sozialdemokratische Zeitschrift für Politik, Wirtschaft und Kultur	0555-3482
AK00817216	Jahrestage	1865-8148
AK00817243	Cargo : Film, Medien, Kultur	1867-8742
AK00817250	[DUZ / Europa kompakt] DUZ : unabhängige deutsche Universitätszeitung	1867-9595
AK00817549	Exot : Zeitschrift für komische Literatur	1861-6283
AK00817887	Zero	0340-2878
AK00817901	Zero-Magazin	0722-3455
AK00818268	Konkrete Poesie = Poesia concreta	0023-3536
AK00818323	Nachbarschaft : Zeitschrift für gelebte Ökologie	0721-8818
AK00819093	Virus : Magazin ; Satire & anderes	0344-1180
AK00819864	Wortmeldungen	1610-935X
AK00820580	Polar : Politik, Theorie, Alltag ; Halbjahresmagazin ; Zeitschrift für politische Philosophie und Kultur	1862-5657
AK00820657	Skaldenschriften : [Reprint]	1860-0891
AK00820754	Bericht über neonazistische Aktivitäten : eine Dokumentation	0173-7953
AK00821193	Wissenschaftliche Abhandlungen und Reden zur Philosophie, Politik und Geistesgeschichte	0935-5200
AK00821593	Studien zur Phänomenologie und praktischen Philosophie	1866-4814
AK00821685	Identitäten und Alteritäten	1432-0312
AK00821858	Lukács : Jahrbuch der Internationalen Georg-Lukács-Gesellschaft	1421-8208
AK00821895	Veröffentlichungen des Stadtarchivs Bonn	0524-0352
AK00822273	Journal of Paper Conservation : IADA reports ; Mitteilungen der IADA	1868-0860
AK00822285	Napjaink költészete	0133-4050
AK00822300	Bargfelder Bote auf CD-ROM : Bargfelder Bote ; Materialien zum Werk Arno Schmidts	0342-8036
AK00822547	Sziget verseskönyvek	1585-3918
AK00824626	Kunstgeschichtliches aus Landsberg am Lech : Beiträge zur Kunstgeschichte und Volkskunde	0931-2722
AK00824696	Jahrbuch der Deutschen Dostojewskij-Gesellschaft	1437-5265
AK00829551	Reihe Musikwissenschaft	0177-283X
