id	display	zdb
AK00966847	Miscellanea curiensia : Beiträge zur Geschichte und Kultur Nordoberfrankens und angrenzender Regionen	1357817-0
AK00966906	Duitse kroniek	2170153-2
AK00967197	Martin Walser : Bibliographie : [Bibliographie]	1182304-5
AK00967446	Medien im Deutschunterricht : Jahrbuch	2195154-8
AK00967758	Diogenes-Magazin	2496052-4
AK00967957	Heimatglocken : Bilder aus Vergangenheit und Gegenwart Niederbayerns ; Monatsschrift für die ostbairischen Grenzmarken	351827-9
AK00967959	Schwabe reflexe	2523348-8
AK00967965	VS-Mitteilungsblatt	562593-2
AK00967970	Forschungen zur Kultur- und Litteraturgeschichte Bayerns	502888-7
AK00968050	Comparatio : Zeitschrift für vergleichende Literaturwissenschaft	2479604-9
AK00968529	Historisches Neujahrsblatt : für das Jahr ...	344065-5
AK00968534	Literatur und Recht	2979606-4
AK00969131	HeideggerForum	2501446-8
AK00969368	MaD Flugschrift	291345-8
AK00969447	Berichte aus der Werkstatt : [Pressendruck]	2466823-0
AK00969463	Rundbrief der Familiengemeinschaft Gebhardt, Paulus, Hoffmann	132935-2
AK00969564	Katalog der Bibliothek der Stiftung Haus Oberschlesien	150673-0
AK00969800	Veröffentlichungen der Historischen Kommission für Westfalen	517285-8
AK00969808	High-Life-Almanach : Adreßbuch der Gesellschaft Wiens und der österreichischen Kronländer	1300879-1
AK00969819	Medienverzeichnis : Gegenöffentlichkeit und Medieninitiativen in Österreich	1167245-6
AK00969822	Österreichischer Musenalmanach	547451-6
AK00969940	Pegasus : Theater, Literatur, Märchen	144288-0
AK00969948	Dramatische Dichtung der Ostmark : Almanach	2063608-8
AK00970257	Österreich-Literatur jetzt : Almanach : [Textsammlung (Anthologie u.a.m.)]	2314624-2
AK00970309	[Junges Deutschland / Flugschriftenreihe] Junges Deutschland	597042-8
AK00970342	Österreichische Caritas-Zeitschrift : einzige sozial-caritative Fachzeitschr. Österreichs	350318-5
AK00970344	Österreichischer Volks- und Wirthschafts-Kalender : für das Jahr ...	1272700-3
AK00970345	Österreichisches Jahrbuch : im Vereine mit mehreren vaterländischen Schriftstellern, red. von ..	533982-0
AK00970346	Oberösterreichisches Jahrbuch für Literatur und Landeskunde : mit Liedern und Dichtungen in der Mundart und einer artistischen Beil	533981-9
AK00970348	Das Literaturbuch : literarisches Leben in der Bundesrepublik Deutschland	1189523-8
AK00970351	Lyricus	1390483-8
AK00970352	Phönix : Blätter für Literatur und Grafik	29971-6
AK00970353	Schwarzes Quadrat : Kunst, Kultur, Wissenschaft	1361432-0
AK00970405	Berlin im Spiegel	536789-x
AK00970410	Kristallkugel : Beiträge zum Berliner Kulturleben	83894-9
AK00970411	Linkeck : Underground Zeitung Berlin	8735-x
AK00970438	Bonner Literatur-Kalender : Bonner Gelehrte u. ihre Werke	216013-4
AK00970619	Biblioteka sovremennogo znanija	2464421-3
AK00970674	Bragatempel : Sammlung von Original-Dichtungen der Mitglieder des Bragabundes in Hamburg	890901-5
AK00970769	Nachrichten des Martinszeller Verbands	1462026-1
AK00970889	Die Eiche	525341-x
AK00971055	Systematisches Verzeichnis der schweizerischen oder die Schweiz betreffenden Veröffentlichungen	133949-7
AK00971069	Schweizer Dichtermappe	541357-6
AK00971112	Münchener Album	543279-0
AK00971181	Kleine Schriften : grösstentheils von Weimarischen Gelehrten aus dem ersten Jahre des 19ten Jahrhunderts	2112755-4
AK00971240	Lyrik-Kalender : [Kalender]	2565643-0
AK00971256	Schweizer Rot-Kreuz-Kalender : Jahrbuch zur Belehrung und Unterhaltung für das Schweizervolk	980744-5
AK00971323	Sie redigieren, schreiben und gestalten	2494701-5
AK00971353	SFB-Archiv	144054-8
AK00971359	Rumpelstilzchen : heute back ich, morgen brau ich, übermorgen hol ich der Königin ihr Lied, ach wie gut, daß niemand weiß ... ; Literaturblatt des Widukind-Gymnasiums Enger	2639313-X
AK00971724	Federlesen : Schreibwerkstatt der Jürgen-Ponto-Stiftung im Herrenhaus Edenkoben ...	2636690-3
AK00971781	Neue deutsche Bodensatzbibliothek : [Künstlerbuch]	1153363-8
AK00971784	Das geistige Wien : Künstler- und Schriftsteller-Lexikon ; Mittheilungen über Wiener Architekten, Bildhauer, Bühnenkünstler, Graphiker, Journalisten, Maler, Musiker und Schriftsteller	1308834-8
AK00971800	Wienerischer Musenalmanach : auf das Jahr ...	514367-6
AK00971801	Wiener Musenalmanach : auf das Jahr ..	514375-5
AK00971803	Wiener Neujahrs-Almanach	1210457-7
AK00971863	[Literaturen / Special] Literaturen : das Journal für Bücher und Themen	2440597-8
AK00971899	Das 20. Jahrhundert : [Antiquariats-, Auktionskatalog]	151266-3
AK00972003	Auslandsdeutschtum : ein Wegweiser durch die über das Deutschtum im Ausland ... erschienenen Drucksachen	564297-8
AK00972131	Bibliographie zu den biographischen Archiven : [Bibliographie]	1203134-3
AK00972152	Idiome : Hefte für neue Prosa	2405485-9
AK00972193	Wuppertaler Biographien	525600-8
AK00972195	Der Scheinwerfer : Monatsschrift für Kunst, Wissenschaft und Volksbildung	1361427-7
AK00972226	Donauschwäbische Bibliographie : das Schrifttum über die Donauschwaben in Ungarn, Rumänien, Jugoslawien und Bulgarien sowie, nach 1945, in Deutschland, Österreich, Frankreich, USA, Canada, Brasilien, Argentinien, Venezuela und Australien : [Bibliographie]	130428-8
AK00972300	Nordfriesland im Roman	2436837-4
AK00972386	Kontakt : a magazine for German speaking North Americans	412304-9
AK00972503	Hie gut Württemberg allewege : ein litterarisches Jahrbuch aus Schwaben	539599-9
AK00972564	Der Weg : Monatsschrift	1471676-8
AK00972598	Signale : literarische Beilage der Neuen Zeitung	228563-0
AK00972606	Neuverbesserter genealogischer Sack- und Schreib-Calender : auf das Jahr ... : [Kalender]	1461628-2
AK00972607	Verbesserter genealogischer Sack- und Schreib-Kalender, für Protestanten und Katholiken : für das Jahr ..	1225734-5
AK00972614	Jahrbuch schwäbischer Dichter und Novellisten	546492-4
AK00972701	Post-Karten-Lyrik-Kalender : [Kalender]	2662109-5
AK00972731	Der Pudel : methodische Dichtung	2156276-3
AK00972772	Poems from the floating world	208928-2
AK00972792	L' art macabre : Jahrbuch der Europäischen Totentanz-Vereinigung, Association Danses Macabres d'Europe, Bundesrepublik Deutschland e.V.	2013316-9
AK00972912	Bericht des Nordoberfränkischen Vereins für Natur-, Geschichts- und Landeskunde e. V. Hof : für das Jahr ...	967331-3
AK00973662	Bremer Literaturpreis	341928-9
AK00973673	Vegetarier-Runde : ill. Kultur u. Gesundheitszeitschr. d. gesamtdeutschen Vegetarier- u. Lebensreformbewegung auf freier, überorganisatorischer u. überkonfessioneller Grundlage	525176-x
AK00973793	Les Cahiers verts	975757-0
AK00974106	Die Fünf Weltteile : ein unidyllisches Verlegerjahrbuch ; mit einem idyllischen Dichter-Almanach	556766-x
AK00974279	Referate und Protokolle : ... Mitgliederversammlung	2030197-2
AK00974299	[The German quarterly / Membership directory] The German quarterly	221049-6
AK00974367	Select-Collection : [collection des chefs-d'oeuvres du roman contemporain]	1068043-3
AK00974453	Veredit-iertes : Lyrik, Texte, Gedichte, Pantum & Gefühltes, Gesehenes, Hörbares : [Weblog]	2548227-0
AK00974460	Viel Glück! : Insel-Kalender ; für das Jahr ... : [Kalender]	2530591-8
AK00974500	Panorama der tschechischen Literatur : [Textsammlung (Anthologie u.a.m.)]	283097-8
AK00974614	Bibliothek ausländischer Klassiker in deutscher Übertragung	844264-2
AK00974754	[Vintage books / K] Vintage books	1136580-8
AK00975018	Westfälische Briefwechsel und Denkwürdigkeiten	517702-9
AK00975233	Bibliothek des Schweizer Bibliophilen	574892-6
AK00975379	Das Weltbad : Blätter des Kulturrats der Stadt Baden-Baden	525945-9
AK00975431	Handbuch der öffentlichen Büchereien	2347-4
AK00975439	Publikationen aus den preußischen Staatsarchiven	503431-0
AK00975439	Publikationen aus den preußischen Staatsarchiven	503432-2
AK00975447	Handbuch der öffentlichen Bibliotheken	186425-7
AK00975466	[Wirtschaftsdienst <Heidelberg>] Wirtschaftsdienst : Zeitschrift für Wirtschaftspolitik	202814-1
AK00975650	Umwelt-Zeitung : die Bürgerinitiativen informieren ; lieber heute aktiv, als morgen radioaktiv	2565411-1
AK00975662	Auslese : zum Jahreswechsel ... : [Textsammlung (Anthologie u.a.m.)]	1148483-4
AK00975859	Opera Universitatis Purkynianae Brunensis, Facultas Philosophica	1053550-0
AK00975912	Römische Prosaiker in neuen Übersetzungen	845905-8
AK00975921	Informationsführer Bibliotheken und Dokumentationsstellen in Österreich	230429-6
AK00976024	Acts : a journal of new writing	1021817-8
AK00976079	Gauke's Lyrik-Kalender : [Kalender]	1458095-0
AK00976097	Extrablatt der Volksbühne Berlin	2355829-5
AK00976104	Aus dem Leierkasten	975943-8
AK00976108	Kino : German film ; international reports	749750-7
AK00976283	Autorentage ... in Konstanz : eine Bücherschau quer durch die heutige Literatur : [Textsammlung (Anthologie u.a.m.)]	noch nicht bekannt
AK00976405	Almanach der Bellettristen und Bellettristinnen : für's Jahr ...	217529-0
AK00977112	Perry Rhodan : die größte Science-Fiction-Serie	1080503-5
AK00977471	Documents et témoignages	2445392-4
AK00977530	Biblioteca abierta : colección general. - Filosofía	2509459-2
AK00977553	Schriften des Ortsvereins Bonn-Köln der Deutschen Thomas Mann-Gesellschaft	2493549-9
AK00977589	[Jahrbuch Preussischer Kulturbesitz / Sonderband] Sonderband	236025-1
AK00977609	Revue de poésie	2565873-6
AK00977863	Excellence in teaching and learning : Studien zur Informationswissenschaft	2499022-X
AK00977894	Autorentage ... in Weinstadt : eine Bücherschau quer durch die heutige Literatur : [Textsammlung (Anthologie u.a.m.)]	noch nicht bekannt
AK00977899	Autorentage ... in Bottrop : eine Bücherschau quer durch die heutige Literatur : [Textsammlung (Anthologie u.a.m.)]	noch nicht bekannt
AK00978150	[Baldhamer Lesebogen / Prospekt] Baldhamer Lesebogen	2662984-7
AK00978496	Universelle Religion : die Religion des modernen Menschen ; offizielles Organ der Stiftung für Universelle Religion	1126415-9
AK00978504	UFO	1010757-5
AK00978520	Neuer Kalender der Literatur : Taschenkalender : [Kalender]	2121837-7
AK00978532	Amtsblatt der Westfälischen Wilhelms-Universität Münster	628251-9
AK00978730	Einladung zur akademischen Feier des Geburtsfestes Seiner Majestät des Königs ... im Namen des Rectors und akademischen Senats der Königlichen Eberhard-Karls-Universität in Tübingen	1005115-6
AK00978783	Flugschriften aus der Reformationszeit	516122-8
AK00979025	Eine Stadt : Berichte über Kultur und Leben	507138-0
AK00979027	Berliner Blätter : die Hauszeitschrift der Reichshauptstadt	748181-0
AK00979029	Jahresgabe des Wissenschaftlichen Instituts der Elsaß-Lothringer im Reich an der Universität Frankfurt a. M.	258300-8
AK00979030	Jahresbericht : Ostern ... : [Schulprogramm, Schulschrift]	1060514-9
AK00979031	Jahresgabe	2240190-8
AK00979235	[Neue österreichische Biographie ab 1815 / Große Österreicher] Neue österreichische Biographie ab 1815	716864-0
AK00979239	[Neue österreichische Biographie ab 1815 / 1] Neue österreichische Biographie ab 1815	18443-3
AK00979250	[Neue österreichische Biographie / 1] Neue österreichische Biographie : 1815 - 1918. - 4 (1927)	0595_0284_1.tif
AK00979268	[Das Lot / Sonderdruck] Das Lot : d. Schriftenreihe internationaler Avantgarde	562103-3
AK00979277	Jahresbericht über die Kantonalen Höhern Lehranstalten in Luzern : für das Schuljahr .. : [Schulprogramm, Schulschrift]	1067132-8
AK00979305	Collection du répertoire	2710665-2
AK00979384	Pallieter-Kalender : voor ... : [Kalender]	2670772-X
AK00980083	Literaturwissenschaftliche Jahresgabe der Josef-Weinheber-Gesellschaft : Essays, Interpretationen, Mitteilungen aus der Forschung	2505336-X
AK00980257	Bibliothek der elenden Scribenten	522386-6
AK00980352	Das Bayerische Inn-Oberland : Zeitschrift des Historischen Vereins Rosenheim	218783-8
AK00980409	Modern library paperbacks	1439025-5
AK00980777	Bibliothek der deutschen Nationalliteratur des achtzehnten und neunzehnten Jahrhunderts	1031706-5
AK00980867	Der Jüngling	1271995-x
AK00981748	Germanistik in Ireland : Schriftenreihe	2506262-1
AK00981826	Annuaire	95406-8
AK00982177	Studienbücherei	846487-x
AK00982571	Krefelder Blätter für Theater und Kunst	1140265-9
AK00982574	Der Lichtgang : Blätter für Heimat und Volksleben	510366-6
AK00982623	Nibelungendruck	2011306-7
AK00982659	Tolstoi-Bibliothek	1205539-6
AK00982830	Manhattan manuscripts	2509604-7
AK00982839	Dhauner Echo : Mitteilungsblatt der Heimvolkshochschule Schloß Dhaun	402438-2
AK00982849	Badische Bauern-Zeitung : BBZ ; Wochenblatt des BLHV	519372-2
AK00982865	Duisburger Journal : Beiträge und Nachrichten aus dem kulturellen Leben, Stadtgeschichte, Veranstaltungskalender, Wegweiser	401321-9
AK00982887	FF communications	428436-7
AK00982914	Schriftenreihe der Vereinigung zur Erforschung der Neueren Geschichte	504603-8
AK00982976	Lesen in Düsseldorf : Bibliotheken, Buchhandlungen, Antiquariate, Verlage, Literaturinstitute	1463212-3
AK00983062	Leseheft	2639642-7
AK00983536	Gothaer Museumsheft : Beiträge zur Regionalgeschichte	1040764-9
AK00983579	Oberta	2382613-7
AK00983596	Gothaer Museumsheft zur Regionalgeschichte	30769-5
AK00983599	The paper conservator	428755-1
AK00983608	The conservator	413179-4
AK00983619	Eberstädter Donnerkeil : E. D. ; hektographierte Texte & Zeichen ; Heft-Anthologie-Reihe	2637333-6
AK00983730	Rotfuchs : Tribüne für Kommunisten und Sozialisten in Deutschland	2024035-1
AK00983746	Waiguo-xiju : jikan	1007154-4
AK00983752	Modern international drama : [Textsammlung (Anthologie u.a.m.)]	955072-0
AK00983757	Offensiv : Zeitschrift für Sozialismus und Frieden	2120652-1
AK00983843	Magazin Forschung	1008436-8
AK00983848	Arguments : bimestriel	211686-8
AK00983856	Le contrat social : revue historique et critique des faits et des idées	280624-1
AK00983859	Echt, Anliegen & sachlich : Zeitschrift für Satire & Experiment	539578-1
AK00983883	Germania	2424891-5
AK00983885	[Deutsches Ärzteblatt <Köln> / C] Deutsches Ärzteblatt : ärztliche Mitteilungen	1453867-2
AK00983903	Library publication	1003301-4
AK00983904	Die schönste Zeit ist heut : Eschbacher Jahres-Kalender : [Kalender]	2444073-5
AK00983915	Der literarische Küchenkalender : [Kalender]	2635632-6
AK00983920	Der literarische Blumenkalender : [Kalender]	2564968-1
AK00983929	Telos : die Welt von morgen ; Kultur, Gesellschaft, Forschung	8880-8
AK00983931	Vinculum : Seminar, Mürschter Zirkel, Johann-Philipp-von-Schönborn-Gymnasium	1485850-2
AK00983960	Allemagne d'aujourd'hui : textes et informations sur la vie culturelle en Allemagne	210601-2
AK00984051	Druck für die Hamburger Presse	576246-7
AK00984080	Mitteilungen des Vereins Ehemaliger Abiturienten des Stadt-Gymnasiums Dortmund	628074-2
AK00984137	Der Mahler der Sitten	1115646-6
AK00984512	Neue Vesta : kleine Schriften zur Philosophie des Lebens und zur Beförderung der häuslichen Humanität	400656-2
AK00984585	Erotische Literatur : Mitteilungen zu Erforschung und Bibliographie : [Bibliographie]	1313503-x
AK00984689	Loeb classical library	412059-0
AK00984810	Il filarete : collana di studi e testi ; pubblicazioni della Facoltà di Lettere e Filosofia dell'Università degli Studi di Milano	2061653-3
AK00985042	Konstanzer Blätter für Hochschulfragen	1139-3
AK00985047	Literatura : a Magyar Tudományos Akadémia Irodalomtudományi Intézetének folyóirata	196763-0
AK00985053	Umjetnost riječi : časopis za znanost o književnosti	281997-1
AK00985070	Il pellicano rosso	2111492-4
AK00985073	Akcent : literatura i sztuka	283088-7
AK00985074	I cento talleri	2394304-X
AK00985096	Pogranicza : szczeciński dwumiesi¸ecznik kulturalny	2229011-4
AK00985123	Sulfur : a literary bi-annual of the whole art	1026107-2
AK00985123	Sulfur : a literary bi-annual of the whole art	1312422-5
AK00985143	Café magazine : Pittsburgh's literary cultural magazine	2637145-5
AK00985151	Gargoyle	2635633-8
AK00985459	Die vernünftigen Tadlerinnen	312435-6
AK00985636	Utverždenie evrazijcev	400609-4
AK00985693	Den' po˙ezii : [Textsammlung (Anthologie u.a.m.)]	339160-7
AK00985717	Leben am See : das Jahrbuch des Bodenseekreises	380405-7
AK00985764	Phantastisch : neues aus anderen Welten	2066532-5
AK00985939	Vozdušnye puti : al'manach : [Textsammlung (Anthologie u.a.m.)]	339146-2
AK00985956	Urbane Welten : Texte zur kulturwissenschaftlichen Stadtforschung	2500506-6
AK00986029	Blaue Reihe Wissenschaft	2516947-6
AK00986123	Cosmopoética	2708007-9
AK00986631	Schöninghs Textausgaben alter und neuer Schriftsteller : mit Einleitung und kurzen Anmerkungen	1033259-5
AK00986721	Museum der elenden Scribenten	522388-x
AK00986833	Gotth. Ephr. Leßings theatralische Bibliothek	1402892-x
AK00986925	Zur Geschichte und Litteratur : aus den Schätzen der Herzoglichen Bibliothek zu Wolfenbüttel	548594-0
AK00987021	Literarische Bausteine : eine Sammlung von Meisterwerken der schönen Literatur aller Völker	2895654-0
AK00987336	Lesbenfront	973751-0
AK00987342	[Rowohlts Klassiker der Literatur und der Wissenschaft / Biographien] Rowohlts Klassiker der Literatur und der Wissenschaft	1132558-6
AK00987578	Birklehof	128488-5
AK00987589	Junge Hilfe : offizielles Organ des Deutschen Roten Kreuzes, Jugendrotkreuz	539269-x
AK00987685	Individualitaeten aus und ueber Paris	13421-1
AK00987933	Literaturnoe nasledstvo	339138-3
AK00988038	PEN-Anthologie : [Textsammlung (Anthologie u.a.m.)]	noch nicht bekannt
AK00988074	Stundenbücher	1184592-2
AK00988299	Acht Seiten Freude	1215180-4
AK00988307	Die badische Schule	715533-5
AK00988325	Die Bühne : rheinische Monatshefte für Theater und Drama	537584-8
AK00988351	Deutsche Frömmigkeit	529001-6
AK00988377	Deutsche Kultur-Wacht : Blätter des Kampfbundes für Deutsche Kultur	90244-5
AK00988402	Der Firn : sozialistische Rundschau über das politische, wirtschaftliche und kulturelle Leben	544957-1
AK00988421	Reihe Ausgewählte Kostbarkeiten	1422535-9
AK00988451	Hamburger Jugendbrief	535487-0
AK00988454	Heim und Leben : illustrierte Wochen-Zeitschrift	1069606-4
AK00988466	Jahrbuch für das deutsche Vortragswesen	568771-8
AK00988485	[Die Lesestunde / D] Die Lesestunde : Zeitschrift der Deutschen Buch-Gemeinschaft	1024205-3
AK00988500	Monatshefte für Mecklenburg	536596-x
AK00988514	Spiel' und sing! : Blätter für Jugendspiel und Gemeinschaftsfeier	550530-6
AK00988528	Stafette : Monatsschrift der evangelischen Jugend	538400-x
AK00988533	Westdeutsche Monatshefte	208344-9
AK00988539	Spirit : ein Lächeln im Sturm ; das Magazin für Musik, Kunst und Kultur	1359202-6
AK00988542	Die Therapie des Monats	123256-3
AK00988583	Malerische Schauspiele	2621886-0
AK00988591	Lucas' Operntexte	2558083-8
AK00988593	Dresdner Morgenzeitung	575158-5
AK00988624	[Der Philosoph für die Welt / Neuausgabe] Der Philosoph für die Welt	1375966-8
AK00988650	Musen-Almanach : für das Jahr ...	546865-6
AK00988656	Veröffentlichungen der Historischen Kommission für Hessen und Waldeck	135251-9
AK00988742	Der geistige Arbeiter : deutsche Urheber-Zeitung	548909-x
AK00988745	Kreuzberger neue Zeitung : satirisch-literarisches Lokalblatt	748405-7
AK00988753	Onze poèmes : la revista de poesía plurilingüe : [Textsammlung (Anthologie u.a.m.)]	2405666-2
AK00988837	Berliner Flugblätter an junge Menschen	2641605-0
AK00988871	Gaben der Milde	1001836-0
AK00989002	Das Neue Berlin : Monatshefte für Probleme d. Großstadt	748487-2
AK00989014	Freude und Arbeit : offizielles Organ des Internationalen Zentralbüros Freude und Arbeit	213955-8
AK00989020	Leipziger Musenalmanach	547445-0
AK00989024	Musenalmanach oder poetische Blumenlese	547446-2
AK00989031	Zeitgenossen : ein biographisches Magazin für d. Geschichte unserer Zeit	510398-8
AK00989042	Moralische Anstalt : Festivalzeitung der ... Internationalen Schillertage	2382377-X
AK00989062	Ästhetische Erziehung : Festivalzeitung der ... Internationalen Schillertage	2640325-0
AK00989280	[Das Wunderhorn] Das Wunderhorn	2237666-5
AK00989585	Adrastea	224106-7
AK00989681	Phaidon-Drucke	2012667-0
AK00989863	New writing and daylight	415724-2
AK00990069	Statuen deutscher Kultur	847350-X
AK00990887	Martius-Staden-Jahrbuch	2172259-6
AK00991543	Sitzungsberichte der Heidelberger Akademie der Wissenschaften, Mathematisch-Naturwissenschaftliche Klasse	211661-3
AK00991746	Kulturgemeinde Stuttgart der NS-Gemeinschaft Kraft durch Freude, Deutsche Arbeitsfront	1362812-4
AK00991837	PEN-Info	2476237-4
AK00991996	Bericht der Städtischen Höheren Mädchenschule und der Lehrerinnenbildungsanstalt zu Osnabrück : [Schulprogramm, Schulschrift]	1063995-0
AK00992016	Lavaters Monatsblat für Freunde	345185-9
AK00992115	Sprawozdanie dyrektora C.K. Lwowskiego Gimnazyum Im. Franciszka Józefa : za rok szkolny ... : [Schulprogramm, Schulschrift]	1268461-2
AK00992161	Taschenbuch für Schauspieler und Schauspielfreunde : für das Jahr ...	545578-9
AK00992233	Maehrchenalmanach für Söhne und Töchter gebildeter Stände : auf d. Jahr ...	720136-9
AK00992388	Schriften der Kurfürstlichen Deutschen Gesellschaft in Mannheim	802916-7
AK00992475	Literarischer Almanach : auf das Jahr ... : [Textsammlung (Anthologie u.a.m.)]	2362499-1
AK00992714	Meridian : Fachzeitschrift für alle Gebiete der Astrologie	135466-8
AK00992744	Zustände : Torso-Jahrbuch ; ein Lese- und Lernbuch zum Thema Homosexualität	883588-3
AK00992747	Litspeak : a magazine of fiction, poetry and the visual arts	646119-0
AK00992800	Edition spoken script	2550069-7
AK00992803	Hamburgische Notizen	1319761-7
AK00993311	Rara	2507679-6
AK00993407	Biberachinformation	146384-6
AK00993444	Opak : wir müssen reden	2565195-X
AK00993678	Angermion : yearbook for Anglo-German literary criticism, intellectual history and cultural transfer ; Jahrbuch für britisch-deutsche Kulturbeziehungen ; yearbook of the Centre for Anglo-German Cultural Relations at Queen Mary, University of London	2470979-7
AK00993867	Münchner Beiträge zur jüdischen Geschichte und Kultur	2377389-3
AK00994167	Philosophische Bibliothek. - Taschenausgaben	536405-x
AK00994254	Morphé	2572063-6
AK00994463	Überflüssiges Taschenbuch : für d. Jahr ...	548095-4
AK00994505	Wetzstein-Gedichtekalender : für jeden Monat zwei handgeschriebene Gedichte ; für Literaturliebhaber, für Sammler, und Menschen guten Geschmacks	2520155-4
AK00994511	Arche-Kalender Schweiz : Liebeserklärungen von Dichtern, Künstlern und Musikern an einen Sehnsuchtsort ; Schweiz, Suisse, Svizzera, Svizra : [Kalender]	2398902-6
AK00994826	Hessische Denkwürdigkeiten	309392-x
AK00994895	Chamisso : viele Kulturen, eine Sprache	2491488-5
AK00994951	Deutsche Feier : Beiträge zu kirchlichen Feiern an deutschen Volksfesttagen	549064-9
AK00995016	Chronologen : ein periodisches Werk	131142-6
AK00995018	Hyperboreische Briefe	131144-x
AK00995158	Jahrbuch : für ...	529159-8
AK00995212	Vice versa : deutsch-französische Kulturstudien	2402733-9
AK00995376	Von der Weser bis zur Elbe : niedersächsische Buchreihe	1002304-5
AK00995379	[Hirts deutsche Sammlung / Sachkundliche Abteilung / 2] Hirts deutsche Sammlung	1098071-4
AK00995671	Herda : Erzählungen und Gemälde aus der deutschen Vorzeit für Freunde der vaterländischen Geschichte	1344304-5
AK00995822	Gulliver	2155496-1
AK00995862	Frankfurter Lebensbilder	222193-7
AK00996242	Lebenskunst	3065971-1
AK00996480	Italien : eine Zeitschrift	2059015-5
AK00996481	Italienische Miscellen	719934-x
AK00996642	Die Weisheit der Völker : eine Brevier-Sammlung	2759843-3
AK00997214	Bachem's Novellen-Sammlung : eine belletristische Haus- und Familien-Bibliothek	2238543-5
AK00997454	Dramatisches Sträußchen : für das Jahr ..	380934-1
AK00997529	Die Klassiker der Pädagogik	990471-2
AK00997586	Světová četba	1155621-3
AK00997598	Daphnis-Druck	2688038-6
AK00997688	Nothing doing in London	2637337-3
AK00997859	Göttinger Almanach	2521567-X
AK00998015	Doubleday anchor books	253866-0
AK00998173	Neujahrs-Taschenbuch von Weimar : auf d. Jahr ...	221607-3
AK00998259	Bilingue Aubier-Flammarion	2236757-3
AK00998520	Reihe IBC	2534617-9
AK00998595	Bibliothek älterer Schriftwerke der deutschen Schweiz und ihres Grenzgebietes	986126-9
AK00998690	Diotima-Druck	3183398-6
AK00998694	[Codices manuscripti / Supplementum] Codices manuscripti : Zeitschrift für Handschriftenkunde	2487527-2
AK00998756	[La quinzaine / Cahiers] La quinzaine	441568-1
AK00998759	Neujahrsblätter der Badischen Historischen Kommission	516270-1
AK00998983	Deutsches Künstler-Album : mit Beiträgen lebender Künstler u. Dichter	512957-6
AK00998998	Alles über die Zeitung : Frankfurter Allgemeine, Zeitung für Deutschland	146810-8
AK00999001	Blumenfresser : Literaturmagazin	2534992-2
AK00999038	Frankfurter Land : Schalldeutung für gemeine Zeit	2564969-3
AK00999111	Raabe-Jahrbuch	220543-9
AK00999115	Jahrbuch der Raabe-Gesellschaft ... : [Bibliographie enthalten]	2519653-4
AK00999172	Licus : journal of literary theory and cultural studies ; Zeitschrift für Literatur- und Kulturwissenschaften	2251098-9
AK00999202	August Ludwig Schlözers ... Briefwechsel, meist historischen und politischen Inhalts : [Brief(e)]	795985-0
AK00999208	The Viking portable library	1432120-8
AK00999214	Beiträge zur deutschmährischen Literatur	2391841-X
AK00999253	Meddelelser fra Ny Carlsberg Glyptotek	206645-2
AK00999299	Almanach der Musen und Grazien	551728-x
AK01000266	Freiburger Beiträge zur Wissenschafts- und Universitätsgeschichte	186980-2
AK01000561	Divadlo	1358945-3
AK01000830	Mein schwules Auge	2168257-4
AK01001201	Tempo.fugato : [Weblog]	2555389-6
AK01001220	Rheinsein : Stan Lafleur schlafwandelt durch die rheinische Sferiferie : [Weblog]	2545122-4
AK01001449	Der Engel und das Glück : lyrics ; ein weiterer toller Autorenportal buecherbrett.org Blog : [Weblog]	2555133-4
AK01002261	[Mickiewicz-Blätter / Beiheft] Mickiewicz-Blätter	130956-0
AK01002297	Mitteilungen aus der anthroposophischen Arbeit in Deutschland	152055-6
AK01002323	Mein Weg ins Leben : Jahrbuch für die deutsche Volksschuljugend	607550-2
AK01002326	Mitteilungen ...	133033-0
AK01002333	Marche romane : revue de l'Association des Romanistes de l'Université de Liège	206361-x
AK01002385	Die Hoffnung gibt mich nicht auf : Lyrik und Prosa ; Gedichte Satiren und Sonette : [Weblog]	2566295-8
AK01002394	Die unsichtbare Bibliothek : [Weblog]	2566313-6
AK01002402	Der Mensch : ein deutsches Blatt für gemeinsames Leben	527100-9
AK01002403	Madentiraden : Gedichte und Gedanken : [Weblog]	2555370-7
AK01002573	Mensch und Welt : Blätter für Anthroposophie	538279-8
AK01002743	Briefe scurrilischen Inhalts	522387-8
AK01002803	Heimatbildung : sudetendt. Monatschr. für Volksbildung	351689-1
AK01003764	Bibliographie der Goethe-Literatur : für .. : [Bibliographie]	1442025-9
AK01003766	Der Philosoph für die Welt	513426-2
AK01004008	Début et fin des lumières en Hongrie, en Europe centrale et en Europe orientale : actes du ... Colloque de Mátrafüred : [Konferenzschrift]	356478-2
AK01004009	Les Lumières en Hongrie, en Europe centrale et en Europe orientale : actes du Colloque de Matrafüred : [Konferenzschrift]	340343-9
AK01004225	KMG-Nachrichten : das Vierteljahresmagazin der Karl-May-Gesellschaft	640209-4
AK01004333	Das schwarze Gespenst : Taschenbuch für Satire, Ironie und Persiflage ohne Goldschnitt ; auf das Jahr ...	720374-3
AK01004585	Der neue Plutarch : Biographien hervorragender Charaktere d. Geschichte, Literatur u. Kunst	92188-9
