id	display	zdb
AK00003116	Jahrbuch der Jean-Paul-Gesellschaft	2566-5
AK00003118	Jahrbuch für brandenburgische Landesgeschichte : JBLG	2594-x
AK00003119	Literaturwissenschaftliches Jahrbuch / Görres-Gesellschaft	2596-3
AK00003131	Jahrbuch der Raabe-Gesellschaft	2624-4
AK00003135	Rheydter Jahrbuch für Geschichte, Kunst und Heimatkunde	2631-1
AK00003136	Jahrbuch der Deutschen Schillergesellschaft : internationales Organ für neuere deutsche Literatur : [Bibliographie enthalten]	2637-2
AK00003137	Statistisches Jahrbuch für die Bundesrepublik Deutschland	2648-7
AK00003139	Statistisches Jahrbuch der Deutschen Demokratischen Republik	2657-8
AK00003140	Jahrbuch	2663-3
AK00003146	Jahrbuch des Vereins für Niederdeutsche Sprachforschung	2671-2
AK00003149	Jahrbuch für ostdeutsche Volkskunde	2676-1
AK00003152	Jahrbuch für Volksliedforschung	2677-3
AK00003153	Jahrbuch der Wilhelm-Busch-Gesellschaft, Sitz Hannover	2681-5
AK00003158	Württembergisches Jahrbuch für Volkskunde	2689-x
AK00003159	Jahrbücher für Geschichte Osteuropas : JBfGOE	2698-0
AK00003161	Heidelberger Jahrbücher	2700-5
AK00003163	Neue Heidelberger Jahrbücher	2702-9
AK00003171	Jahresbericht der Deutschen Staatsbibliothek	2765-0
AK00003174	Jahresbericht	2766-2
AK00003175	Jahresbericht	2768-6
AK00003176	Jahres- und Tagungsbericht der Görres-Gesellschaft : [Konferenzschrift]	2773-x
AK00003178	Jahresgabe / Klaus-Groth-Gesellschaft	2790-x
AK00003179	Jahresring : Jahrbuch für moderne Kunst	2793-5
AK00003180	Illustration 63 : Zeitschrift für die Buchillustration	2820-4
AK00003181	Imprimatur : ein Jahrbuch für Bücherfreunde	2825-3
AK00003182	Journal of the history of ideas : JHI is published quarterly by the Univ. of Pennsylvania Press	3051-x
AK00003183	The journal of Germanic philology	3108-2
AK00003184	Bartkowiaks forum book art : Kompendium zeitgenössischer Handpressendrucke, Malerbücher, Künstlerbücher, Einblattdrucke, Mappenwerke und Buchobjekte	1289051-0
AK00003185	Handbuch der publizistischen Praxis ...	3128-8
AK00003187	Kant-Studien : philosophische Zeitschrift der Kant-Gesellschaft	3211-6
AK00003188	Evangelische Kommentare : EVKOMM ; Monatsschrift zum Zeitgeschehen in Kirche und Gesellschaft	3244-x
AK00003189	Forum book art : Kompendium zeitgenössischer Handpressendrucke, Malerbücher, Künstlerbücher, Einblattdrucke, Mappenwerke und Buchobjekte	1183611-8
AK00003192	Journal of English and Germanic philology : JEGP	3246-3
AK00003193	Kommunität : Vierteljahreshefte der Evangelischen Akademie. Hrsg. für den Freundeskreis der Evangelischen Akademie Berlin-Brandenburg	3247-5
AK00003194	[Konkret <Hamburg>] Konkret : Politik und Kultur	3252-9
AK00003195	Kompendium zeitgenössischer Handpressendrucke : lieferbare Bücher, Mappenwerke, Einblattdrucke, Malerbücher und Buchobjekte ; Neuerscheinungen	95909-1
AK00003196	Der Convent : akademische Monatsschrift	3255-4
AK00003197	Internationale wissenschaftliche Korrespondenz zur Geschichte der deutschen Arbeiterbewegung	3256-6
